title,minutes,cost,tags
Walk somewhere in the snow before anybody else has,60,free,travel move outdoors mindful engaging
Make a fire and sit in front of it doing nothing,90,free,mindful indoors engaging
Cook something that takes all afternoon on purpose,240,frugal,eat create indoors engaging
Go out and look at other people's lit windows,40,free,travel watch outdoors mindful casual
Learn to make one proper hot drink from scratch,45,frugal,try eat learn indoors engaging
Read a long book in one weekend,300,free,read indoors challenging
Write the year down before it gets away from you,50,free,create writing nostalgic indoors engaging
"Swim outdoors in cold water, once",45,frugal,play move outdoors adventurous challenging
Take the decorations down slowly and enjoy it,60,free,organize clean home mindful casual
Plan the spring while it is still dark,60,free,organize partner indoors engaging
Watch the shortest day go by from start to finish,600,free,watch mindful outdoors challenging
Make something warm for somebody who is cold,120,frugal,create clothes kindness indoors engaging
